min_id,dep_id,start_date,end_date,active
2610/11_min_12,2610/11_dep_94,2015-09-21,-1,TRUE
2610/11_min_12,2610/11_dep_95,2015-09-21,-1,TRUE
2610/11_min_13,2610/11_dep_96,2015-09-21,-1,TRUE
2610/11_min_13,2610/11_dep_97,2015-09-21,-1,TRUE
2610/11_min_13,2610/11_dep_98,2015-09-21,-1,TRUE
2610/11_min_13,2610/11_dep_99,2015-09-21,-1,TRUE
2610/11_min_13,2610/11_dep_100,2015-09-21,-1,TRUE
2610/11_min_14,2610/11_dep_101,2015-09-21,-1,TRUE
2610/11_min_14,2610/11_dep_102,2015-09-21,-1,TRUE
2610/11_min_14,2610/11_dep_103,2015-09-21,-1,TRUE
2610/11_min_14,2610/11_dep_104,2015-09-21,-1,TRUE
2610/11_min_14,2610/11_dep_105,2015-09-21,-1,TRUE
2610/11_min_14,2610/11_dep_106,2015-09-21,-1,TRUE
2610/11_min_14,2610/11_dep_107,2015-09-21,-1,TRUE
2610/11_min_15,2610/11_dep_108,2015-09-21,-1,TRUE
2610/11_min_15,2610/11_dep_109,2015-09-21,-1,TRUE
2610/11_min_15,2610/11_dep_110,2015-09-21,-1,TRUE
2610/11_min_15,2610/11_dep_111,2015-09-21,-1,TRUE
2610/11_min_15,2610/11_dep_112,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_113,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_114,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_115,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_116,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_117,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_118,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_119,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_120,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_121,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_122,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_123,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_124,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_125,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_126,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_127,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_128,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_129,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_130,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_131,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_132,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_133,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_134,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_135,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_136,2015-09-21,-1,TRUE
2610/11_min_16,2610/11_dep_137,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_138,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_139,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_140,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_141,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_142,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_143,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_144,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_145,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_146,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_147,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_148,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_149,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_150,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_151,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_152,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_153,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_154,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_155,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_156,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_157,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_158,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_159,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_160,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_161,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_162,2015-09-21,-1,TRUE
2610/11_min_17,2610/11_dep_163,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_164,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_165,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_166,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_167,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_168,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_169,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_170,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_171,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_172,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_173,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_174,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_175,2015-09-21,-1,TRUE
2610/11_min_18,2610/11_dep_176,2015-09-21,-1,TRUE
2610/11_min_19,2610/11_dep_177,2015-09-21,-1,TRUE
2610/11_min_19,2610/11_dep_178,2015-09-21,-1,TRUE
2610/11_min_19,2610/11_dep_179,2015-09-21,-1,TRUE
2610/11_min_20,2610/11_dep_180,2015-09-21,-1,TRUE
2610/11_min_20,2610/11_dep_181,2015-09-21,-1,TRUE
2610/11_min_20,2610/11_dep_182,2015-09-21,-1,TRUE
2610/11_min_20,2610/11_dep_183,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_184,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_185,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_186,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_187,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_188,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_189,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_190,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_191,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_192,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_193,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_194,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_195,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_196,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_197,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_198,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_199,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_200,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_201,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_202,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_203,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_204,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_205,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_206,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_207,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_208,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_209,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_210,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_211,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_212,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_213,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_214,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_215,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_216,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_217,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_218,2015-09-21,-1,TRUE
2610/11_min_21,2610/11_dep_219,2015-09-21,-1,TRUE
2610/11_min_22,2610/11_dep_220,2015-09-21,-1,TRUE
2610/11_min_22,2610/11_dep_221,2015-09-21,-1,TRUE
2610/11_min_22,2610/11_dep_222,2015-09-21,-1,TRUE
2610/11_min_23,2610/11_dep_223,2015-09-21,-1,TRUE
2610/11_min_23,2610/11_dep_224,2015-09-21,-1,TRUE
2610/11_min_23,2610/11_dep_225,2015-09-21,-1,TRUE
2610/11_min_23,2610/11_dep_226,2015-09-21,-1,TRUE
2610/11_min_23,2610/11_dep_227,2015-09-21,-1,TRUE
2610/11_min_23,2610/11_dep_228,2015-09-21,-1,TRUE
2610/11_min_24,2610/11_dep_229,2015-09-21,-1,TRUE
