transaction_id,old,new,type,date
2611/11_tr_1,Minister of Transport,Minister of Transport and Civil Aviation,minister,2015-10-15
2611/11_tr_2,Minister of University Education and Highways,Minister of Higher Education and Highways,minister,2015-10-15

