transaction_id,old_parent,new_parent,child,type,date
2611/11_tr_3,Minister of Skills Development and Vocational Training,Minister of Higher Education and Highways,Sri Lanka Institute of Information Technology (SLIIT) and all information technology centres affiliated to SLIIT,department,15-10-15
2611/11_tr_4,Minister of Skills Development and Vocational Training,Minister of Higher Education and Highways,Sri Lanka Institute of Advanced Technological Education,department,15-10-15
